Date,Flights Climbed (count),Step Count (count),Walking + Running Distance (mi),Day of Week,Gonzaga
2021-10-18 00:00:00,1.0,4872.0,2.23,0,no
2021-10-19 00:00:00,3.0,4505.0,1.99,1,no
2021-10-20 00:00:00,3.0,6266.0,2.75,2,no
2021-10-21 00:00:00,8.0,6153.0,2.73,3,no
2021-10-22 00:00:00,2.0,7556.0,3.38,4,no
2021-10-23 00:00:00,1.0,391.0,0.154,5,no
2021-10-24 00:00:00,2.0,733.0,0.328,6,no
2021-10-25 00:00:00,4.0,6600.0,2.94,0,no
2021-10-26 00:00:00,7.0,4917.0,2.13,1,no
2021-10-27 00:00:00,5.0,5989.0,2.65,2,no
2021-10-28 00:00:00,3.5,3084.0,1.39,3,no
2021-10-29 00:00:00,2.0,6939.0,3.11,4,no
2021-10-30 00:00:00,3.0,12327.0,5.73,5,no
2021-10-31 00:00:00,2.0,3496.0,1.56,6,no
2021-11-01 00:00:00,1.0,4139.0,1.73,0,no
2021-11-02 00:00:00,2.5,2191.0,0.998,1,no
2021-11-03 00:00:00,4.0,11055.0,4.99,2,no
2021-11-04 00:00:00,3.0,5024.0,2.23,3,no
2021-11-05 00:00:00,2.0,6237.0,2.7,4,no
2021-11-06 00:00:00,1.0,309.0,0.138,5,no
2021-11-07 00:00:00,2.0,2000.0,0.908,6,no
2021-11-08 00:00:00,3.0,6312.0,2.66,0,no
2021-11-09 00:00:00,1.0,4397.0,1.93,1,no
2021-11-10 00:00:00,4.0,2590.0,1.14,2,no
2021-11-11 00:00:00,5.0,7010.0,2.93,3,no
2021-11-12 00:00:00,3.0,9129.0,4.24,4,no
2021-11-13 00:00:00,5.0,418.63,0.186,5,no
2021-11-14 00:00:00,7.0,3797.0,1.67,6,no
2021-11-15 00:00:00,2.0,5562.0,2.56,0,no
2021-11-16 00:00:00,16.0,6153.0,2.69,1,no
2021-11-17 00:00:00,3.0,4101.0,1.9,2,no
2021-11-18 00:00:00,4.0,3519.0,1.59,3,no
2021-11-19 00:00:00,1.0,5615.0,2.61,4,no
2021-11-20 00:00:00,4.0,6913.0,3.22,5,no
2021-11-21 00:00:00,4.0,239.0,0.103,6,no
